1;INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE;France
2;Animal Production Research Institute;Egypt
3;Corporación Colombiana de Investigación Agropecuaria;Colombia
4;ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE;Switzerland
5;EUROPEAN FORUM OF FARM ANIMAL BREEDERS;Netherlands
6;EUROPEAN MOLECULAR BIOLOGY LABORATORY;Germany
7;FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS FAO;Italy
8;FRIEDRICH LOEFFLER INSTITUT - BUNDESFORSCHUNGSINSTITUT FUER TIERGESUNDHEIT;Germany
9;GEORG-AUGUST-UNIVERSITAET GOETTINGEN STIFTUNG OEFFENTLICHEN RECHTS;Germany
10;Haszonallat-genmegorzesi Kozpont;Hungary
11;INRA TRANSFERT S.A.;France
12;INSTITUT DE L'ELEVAGE;France
13;INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE;Morocco
14;INSTITUTO NACIONAL DE INVESTIGACION Y TECNOLOGIA AGRARIA Y ALIMENTARIA;Spain
15;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;Argentina
16;Lohmann Tierzucht GmbH;Germany
17;NORDISKT GENRESURSCENTER;Sweden
19;SAVE Foundation;Switzerland
20;SRUC;United Kingdom
21;Stichting Wageningen Research;Netherlands
22;SZKOLA GLOWNA GOSPODARSTWA WIEJSKIEGO;Poland
23;UNIVERSIDAD COMPLUTENSE DE MADRID;Spain
24;UNIVERSIDADE DE LISBOA;Portugal
25;UNIVERSITA CATTOLICA DEL SACRO CUORE;Italy
26;UNIVERSITAET FUER BODENKULTUR WIEN;Austria
27;THE UNIVERSITY OF EDINBURGH;United Kingdom
28;WAGENINGEN UNIVERSITY;Netherlands
29;EBI;United Kingdom
30;IBBA-CNR;Italy
31;Centre for Genetic Resources, The Netherlands (CGN) of Wageningen University and Research;Netherlands